key,en,fr
knowmore,Know moren,En savoir plus
navbar.about,About us,Qui sommes nous
navbar.vision,Vision &amp; mission,Vision et mission
navbar.engineer,Engineer,Ingénieur.e
navbar.company,Company,Entreprise
navbar.student,Student,Étudiant.e
navbar.history,History,Histoire
navbar.contact,Contact,Contact
navbar.blog,Blog,Blog
navbar.login,Log in,Se connecter
ailg.full,TBD,Association des ingénieurs diplômés de l'Université de Liège
home.presidentword.title,President's word,Mot du président
home.beneficiary.engineer.description,,Devenez membre de l'AILg et découvrez les avantages de l'accès au réseau privé des ingénieurs diplômés de l'Université de Liège.
home.beneficiary.company.description,,Devenez membre société du réseau privé des ingénieurs diplômés de l'Université de Liège et découvrez les avantages associés au membership.
home.beneficiary.student.description,,Communiquez avec les ingénieurs diplômés de l'Université de Liège et profitez des avantages de leur réseau privé.
home.partners.ours,Our partners,Nos partenaires
footer.contact,Contact,Contact
footer.usefullinks,Useful links,Liens utiles
footer.sponsors,Sponsors,Sponsors
contact.building,Building,Bâtiment
contact.institute,Mathematics Institute,Institut de Mathématique
contact.belgium,Belgium,Belgique
contact.university,University of Liège,Université de Liège
contact.phone,Phone,Tél.
contact.fax,Fax,Fax
engineer.advantages,Advantages,Vos avantages
engineer.as_an_engineer,... as an AILg engineer,... en tant qu'ingénieur.e AILg
company.as_a_company,... as a AILg partner company,... en tant qu'entreprise partenaire AILg
student.as_a_student,... as an engineering student,... en tant qu'étudiant.e ingénieur.e
missionvision.title,Mission and vision,Mission et vision
